seed_id,seed_len,seed_depth,bitmap_size,exec_us,favored,prox_score,stage_max,op0_pos,op0_total,op1_pos,op1_total,op2_pos,op2_total,op3_pos,op3_total,op4_pos,op4_total,op5_pos,op5_total,op6_pos,op6_total,op7_pos,op7_total,op8_pos,op8_total,op9_pos,op9_total,op10_pos,op10_total,op11_pos,op11_total,op12_pos,op12_total,op13_pos,op13_total,op14_pos,op14_total
129,778,3,101,627,1,101,162,0,4,0,4,0,7,0,8,0,4,0,13,0,8,0,9,0,4,0,6,0,7,2,162,0,7,0,9,0,5
129,778,3,101,627,1,101,152,0,5,0,9,0,7,0,3,0,9,0,7,0,8,0,12,0,5,0,8,0,5,2,152,0,3,0,11,0,2
129,778,3,101,627,1,101,171,0,7,0,5,0,8,0,6,0,10,0,6,0,7,0,11,0,2,1,10,0,11,4,171,0,8,0,9,0,7
129,778,3,101,627,1,101,148,0,6,0,2,0,2,0,3,0,8,0,9,0,8,0,4,0,5,0,5,0,7,27,148,0,4,0,9,0,5
129,778,3,101,627,1,101,160,0,8,0,7,0,4,0,9,0,12,0,9,1,5,0,11,0,10,0,9,0,6,3,160,0,4,0,3,0,9
129,778,3,101,627,1,101,177,0,7,0,9,1,10,1,12,2,6,2,13,0,8,0,7,1,12,0,6,1,7,22,177,0,8,1,8,1,12
129,778,3,101,627,1,101,143,0,4,0,6,0,6,0,4,0,6,0,6,0,4,0,3,0,7,0,8,0,4,0,143,0,3,0,5,0,5
129,778,3,101,627,1,101,177,0,5,0,10,0,9,0,10,0,6,0,5,0,9,0,5,0,9,0,5,0,4,0,177,0,10,0,8,0,9
129,778,3,101,627,1,101,162,0,8,0,4,0,4,0,6,0,12,0,8,0,9,0,12,0,6,0,10,0,9,0,162,0,3,0,5,0,4
129,778,3,101,627,1,101,152,0,6,0,7,0,2,0,7,0,4,1,9,0,8,0,6,1,7,0,5,1,5,16,152,0,2,1,7,0,3
129,778,3,101,627,1,101,150,0,9,0,8,0,6,0,2,0,6,0,3,0,9,0,4,0,7,0,5,0,6,11,150,0,5,0,6,0,6
129,778,3,101,627,1,101,160,0,8,0,7,0,7,1,7,1,6,0,11,1,9,1,12,1,10,0,8,1,2,15,160,0,11,0,9,0,8
129,778,3,101,627,1,101,171,0,4,0,8,0,5,0,5,0,6,0,5,0,12,0,7,0,6,0,9,0,6,0,171,0,7,0,12,0,6
106,745,3,105,620,1,99,1369,0,75,0,67,0,66,0,51,0,65,0,72,0,79,0,66,0,62,0,77,0,71,17,1369,0,61,0,66,0,72
106,745,3,105,620,1,99,139,1,6,1,4,0,8,0,5,0,5,0,6,1,9,0,3,0,3,0,2,0,5,11,139,0,7,1,4,0,6
106,745,3,105,620,1,99,148,1,5,1,7,0,6,0,3,0,3,1,5,0,6,0,5,0,7,0,7,1,8,34,148,0,8,0,5,0,2
106,745,3,105,620,1,99,148,0,8,0,7,0,8,0,5,0,5,0,5,0,9,0,5,0,4,0,3,0,4,1,148,0,5,0,2,0,7
106,745,3,105,620,1,99,138,0,6,0,8,0,9,0,6,0,6,0,11,0,9,0,9,0,11,0,11,0,7,1,138,0,8,0,6,0,6
106,745,3,105,620,1,99,150,0,11,0,11,0,6,0,8,0,9,0,12,0,6,0,7,0,6,1,11,0,4,3,150,0,6,0,7,0,9
106,745,3,105,620,1,99,160,0,10,0,6,0,9,0,10,0,9,0,10,0,7,0,5,0,14,0,5,0,11,15,160,0,10,0,13,0,7
106,745,3,105,620,1,99,146,0,9,1,6,0,7,0,10,0,10,0,11,0,5,0,3,0,6,1,10,1,13,23,146,0,6,0,8,0,6
106,745,3,105,620,1,99,148,0,4,0,5,0,8,0,11,0,5,0,12,0,6,0,3,0,7,0,9,0,8,11,148,0,7,0,9,0,7
106,745,3,105,620,1,99,153,0,2,0,4,1,7,0,9,0,9,0,10,0,9,0,10,0,7,0,13,0,5,15,153,0,5,0,12,0,5
106,745,3,105,620,1,99,172,0,4,1,7,0,13,0,9,1,12,0,12,0,5,0,9,0,9,0,12,0,7,19,172,0,9,0,9,0,8
106,745,3,105,620,1,99,146,0,9,0,7,0,9,0,9,0,2,0,14,0,5,0,8,0,3,0,11,0,7,6,146,0,10,0,4,1,9
106,745,3,105,620,1,99,148,1,11,0,6,0,7,2,4,2,8,1,4,1,5,0,3,0,7,0,2,1,7,24,148,0,7,0,4,0,7
106,745,3,105,620,1,99,143,0,4,0,8,0,11,0,3,0,3,0,12,1,6,1,7,2,8,1,6,0,4,16,143,0,5,0,3,0,4
106,745,3,105,620,1,99,151,0,5,1,8,0,9,0,3,0,7,0,7,0,6,1,9,0,8,1,6,0,3,25,151,1,6,1,10,1,6
106,745,3,105,620,1,99,156,0,4,0,5,0,7,0,4,0,6,1,4,0,6,0,4,0,6,0,8,0,8,12,156,1,10,1,8,0,6
186,504,4,114,832,1,103,2810,0,130,0,144,0,134,1,132,0,129,0,116,0,122,0,140,0,133,0,152,0,133,2,2810,0,141,0,116,0,142
186,504,4,114,832,1,103,300,0,14,0,10,0,7,0,16,0,10,0,17,0,15,0,15,0,15,0,17,0,14,5,300,0,14,0,18,0,16
186,504,4,114,832,1,103,320,0,18,0,15,0,12,0,9,0,18,0,15,0,14,0,14,0,14,0,8,0,14,3,320,0,14,0,17,0,21
186,504,4,114,832,1,103,303,0,9,0,14,0,13,0,11,0,15,0,20,0,18,0,9,0,15,0,13,0,15,7,303,0,11,0,16,0,12
186,504,4,114,832,1,103,307,0,12,0,14,0,17,0,15,0,14,0,13,1,17,0,8,0,11,0,9,0,12,18,307,0,6,0,19,0,16
186,504,4,114,832,1,103,300,0,11,0,11,0,17,0,17,0,11,0,16,0,8,0,12,0,12,0,13,0,12,0,300,0,15,0,9,0,8
186,504,4,114,832,1,103,178,0,13,0,8,0,7,0,10,0,4,0,6,0,6,0,11,0,7,0,8,0,10,0,178,0,11,0,7,0,9
186,504,4,114,832,1,103,309,0,8,0,11,0,13,0,14,0,17,0,14,0,11,0,10,0,18,0,17,0,12,3,309,0,13,1,10,0,21
186,504,4,114,832,1,103,316,0,10,0,12,0,16,0,18,0,9,0,17,0,16,0,12,0,7,0,8,0,17,5,316,0,11,0,12,0,17
186,504,4,114,832,1,103,312,0,15,0,14,3,16,0,16,0,9,0,13,0,8,0,14,0,13,0,14,0,17,45,312,0,14,2,14,1,15
